,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
12,A. Kramaric,4.0,29.0,177.0,73.0,6.777777777777778,30.5,351898,3.3557,1.3951,0.5279,0.0,0.176,27.3481,1.8978,8.9485,0.088,0.0377,0.2765,5.5048,1.9481,1.9103,0.9677,0.9175,0.3393,0.1005,0.0,0.0,0.0,0.0,0.1131,0.0251,0.0,1.1814,0.9677,0.2137,0.2262,0.2639,79.5667
13,A. Lacazette,4.0,29.0,175.0,73.0,5.75,48.0,3141100,2.7988,1.1863,0.5183,0.0,0.2073,20.6629,1.3476,8.6383,1.1633,0.0576,0.3686,12.946,5.3097,2.2229,1.3591,1.647,1.6931,0.1267,0.0,0.0115,0.023,0.0,0.0346,0.0,0.0,1.3015,1.0136,0.2879,0.4953,0.4262,86.8222
14,A. Laporte,3.0,26.0,191.0,86.0,5.466666666666667,60.0,841807,0.5395,0.1349,0.0623,0.0,0.0415,69.0512,0.3424,11.0814,0.7574,0.1764,1.2659,7.3046,4.5654,0.2386,0.1556,0.6329,0.7989,0.1349,0.0,0.0,0.0104,0.0104,0.0,0.0,0.0,1.048,1.0272,0.0208,0.0934,0.1349,96.3778
15,A. Martial,4.0,25.0,181.0,76.0,6.615384615384615,17.5,5748682,2.6025,1.1386,0.488,0.0,0.2002,28.1899,1.6391,11.7865,0.488,0.0125,0.1251,11.3986,4.8047,4.1791,2.3148,1.5015,0.9509,0.0626,0.0,0.0,0.025,0.0,0.0626,0.0125,0.0,1.4639,1.026,0.4379,0.5756,0.563,79.9222
16,A. Meret,1.0,23.0,190.0,82.0,5.125,48.0,272236,0.0,0.0,0.0,1.1737,0.0,17.8286,0.0,8.4579,0.0,0.0,0.0559,0.3167,0.2236,0.0,0.0,0.149,0.0559,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0559,1.0246,1.006,0.0186,0.0186,0.6148,53.6778
17,A. Milik,4.0,26.0,186.0,80.0,5.818181818181818,28.0,1042684,3.9001,1.7924,0.6472,0.0,0.083,17.5751,1.1119,12.198,0.4481,0.083,0.1328,6.572,2.3898,0.7302,0.3485,1.1617,1.4273,0.2323,0.0,0.0,0.0,0.0,0.0332,0.0,0.0,1.4604,0.9626,0.4979,0.3983,0.7634,60.2556
18,A. Mitrovic,4.0,26.0,187.0,90.0,4.0,32.0,100461,3.7755,1.4144,0.5123,0.0,0.0557,19.4679,0.9467,4.0651,0.3898,0.1336,0.1671,12.2064,5.4907,1.3922,0.7239,1.5815,1.5815,0.2005,0.0,0.0,0.0223,0.0111,0.0334,0.0223,0.0,1.0358,1.0024,0.0334,0.078,0.0557,89.7889
19,A. Morata,4.0,28.0,190.0,84.0,6.0,20.0,11106560,3.6364,1.6268,0.4904,0.0,0.0957,15.9689,1.0287,11.1722,0.6459,0.1077,0.299,11.9498,5.012,2.0694,1.1722,2.0813,2.1172,0.323,0.0239,0.0,0.0,0.0,0.0,0.012,0.0,1.4234,1.0167,0.4067,0.5263,0.4904,83.6
20,A. Onana,1.0,24.0,190.0,93.0,4.909090909090909,16.0,562276,0.0154,0.0,0.0,0.8859,0.0,18.057,0.0077,4.6914,0.0,0.0,0.0693,0.2619,0.2157,0.0539,0.0539,0.0539,0.0077,0.1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,1.0092,1.0015,0.0077,0.0077,0.0308,129.8111
21,A. Pereira,2.0,24.0,178.0,71.0,4.428571428571429,28.0,123684,1.8295,0.6492,0.0787,0.0,0.177,34.2099,1.6328,13.8885,1.0623,0.0393,0.7869,11.3508,4.2689,2.4787,1.2393,1.2197,1.8295,0.3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7311,1.023,0.7082,0.6689,1.1016,50.8333
22,A. PÃ©rez,3.3333333333333335,26.333333333333332,180.0,72.66666666666667,4.666666666666667,16.0,189500,0.9041,0.2978,0.1383,0.0,0.0957,21.8166,0.5531,4.9037,1.1594,0.2234,0.9786,4.8186,2.4146,1.0105,0.6169,0.8191,1.085,0.2234,0.0106,0.0106,0.0,0.0213,0.0106,0.0,0.0,1.1275,1.0531,0.0745,0.2447,0.2872,94.0111
23,A. Rabiot,2.0,25.0,188.0,71.0,4.9,24.0,1741682,0.6609,0.1652,0.0826,0.0,0.1101,62.3406,0.7848,8.481,0.8674,0.1377,1.1152,7.173,4.1166,1.8587,1.363,1.0188,1.5282,0.1377,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,1.2666,1.005,0.2616,0.3304,0.3993,72.6333
24,A. Ramsey,2.0,30.0,178.0,76.0,5.833333333333333,25.5,4059287,2.4223,0.993,0.331,0.0,0.2407,45.2557,1.324,11.8857,1.4594,0.0903,0.9178,8.6359,4.0923,1.7302,1.1886,1.4594,1.4443,0.0451,0.0,0.0,0.0451,0.0,0.015,0.0,0.0,1.4744,1.008,0.4664,0.4514,0.6169,66.4667
25,A. Robertson,3.0,26.0,178.0,64.0,5.916666666666667,24.0,2696305,0.5216,0.1625,0.0257,0.0,0.2138,52.4437,1.2741,7.1487,1.5905,0.1796,0.9321,6.0627,3.2238,1.0774,0.5986,0.2822,0.6157,0.1197,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,1.0261,1.009,0.0171,0.1112,0.0941,116.9444
26,A. Romagnoli,3.0,25.0,185.0,75.0,7.0,64.0,793779,0.3598,0.1107,0.0461,0.0,0.0,51.1307,0.2122,6.6797,0.6458,0.5259,1.1625,4.3362,2.6756,0.083,0.0554,0.4152,0.9134,0.2214,0.0092,0.0092,0.0,0.0185,0.0092,0.0,0.0,1.0241,1.0056,0.0185,0.0646,0.0369,108.3889
27,A. RÃ¼diger,3.0,27.0,190.0,85.0,5.5,36.0,1242810,0.6708,0.148,0.0592,0.0,0.0099,62.1043,0.1776,9.4202,0.9371,0.3354,0.8779,7.4178,4.0048,0.2565,0.1874,0.4537,0.9568,0.1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357,0.9963,0.0395,0.0395,0.2367,101.3778
28,A. Saint-Maximin,2.0,23.0,173.0,67.0,4.384615384615385,40.0,409157,1.5546,0.5262,0.1674,0.0,0.0718,12.7598,1.1839,6.8164,0.2153,0.0239,0.1913,10.093,5.2259,5.3574,3.3006,1.3872,0.3109,0.0478,0.0,0.0,0.0239,0.0,0.012,0.012,0.0,1.148,1.0404,0.1076,0.586,0.1435,83.6222
29,A. Sandro,3.0,29.0,180.0,80.0,7.0,20.0,1971364,0.6674,0.1793,0.0498,0.0,0.1096,50.6032,1.2452,7.5905,1.0559,0.1594,1.3248,9.4234,5.3592,2.1716,1.4344,1.534,1.803,0.249,0.0,0.0,0.0,0.0398,0.0,0.0,0.0,1.0957,1.016,0.0797,0.1395,0.249,100.3889
30,A. Silva,1.8461538461538463,31.76923076923077,177.30769230769232,72.53846153846153,6.461538461538462,40.0,8752,0.6311,0.1674,0.0129,0.4508,0.0773,34.7353,0.5409,12.0421,1.2364,0.1288,0.7985,5.6926,2.7948,0.9659,0.6568,0.8887,0.9659,0.2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2364,1.0175,0.2189,0.2318,0.322,77.6444
31,A. Telles,3.0,28.0,181.0,67.0,5.3,16.0,923192,0.8394,0.3228,0.1533,0.0,0.2583,25.6578,2.3325,4.4229,0.6618,0.1372,1.6142,5.0444,2.8329,0.8797,0.565,0.6295,1.0734,0.1372,0.0,0.0081,0.0,0.0081,0.0888,0.0242,0.0,1.025,0.9927,0.0323,0.0646,0.0323,123.9
32,A. TraorÃ©,3.4347826086956523,26.91304347826087,154.82608695652175,65.91304347826087,4.0,32.0,1394908,0.8265,0.2605,0.0809,0.0,0.1168,21.0311,0.9523,8.2022,0.9972,0.1168,1.0601,9.9092,5.5879,4.2583,3.2162,1.3386,1.0781,0.0988,0.0,0.009,0.018,0.0,0.0,0.009,0.0,1.3566,0.9972,0.3594,0.2695,0.6828,111.3111
33,A. Wan-Bissaka,3.0,23.0,183.0,72.0,5.7,25.5,1629273,0.2148,0.0126,0.0,0.0,0.0758,30.8593,0.6698,7.7211,3.7658,0.4802,2.2115,9.9832,6.4701,2.4895,1.6807,0.4928,0.6066,0.139,0.0,0.0126,0.0,0.0253,0.0,0.0,0.0,1.011,0.9983,0.0126,0.0379,0.1769,79.1333
34,A. Witsel,2.0,31.0,186.0,73.0,6.0,32.0,1451724,1.1155,0.2756,0.1312,0.0,0.0787,67.2178,0.5118,7.3885,1.0499,0.21,1.2598,4.6194,2.9003,1.0499,0.8793,1.4304,0.958,0.0787,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,1.063,0.9843,0.0787,0.0656,0.0787,76.2
35,Alisson,1.0,28.0,193.0,91.0,4.2,21.5,6954286,0.0,0.0,0.0,0.7886,0.008,23.1578,0.0161,3.9267,0.0241,0.0,0.0483,0.3943,0.354,0.0724,0.0724,0.0483,0.0161,0.0161,0.0,0.008,0.0,0.0,0.0,0.0,0.0161,1.0058,1.0058,0.0,0.008,0.008,124.2778
36,Allan_NAP,2.0,29.0,173.0,73.0,6.909090909090909,72.0,473238,0.863,0.2183,0.0624,0.0,0.0832,54.2849,0.9982,9.3681,1.9131,0.1976,0.9774,12.7472,6.5088,2.9009,1.9027,1.8195,1.57,0.1768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2581,1.0085,0.2495,0.3015,0.2807,96.1778
37,AngeliÃ±o,3.0,23.0,175.0,69.0,5.916666666666667,32.0,165000,0.7653,0.3102,0.0517,0.0,0.2172,36.9183,2.1096,8.273,0.7963,0.1861,1.5098,6.5874,3.7952,2.0579,1.2823,1.0134,0.6101,0.0931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0238,1.0031,0.0207,0.062,0.1758,96.7
38,Anthony Lopes,1.0909090909090908,27.272727272727273,167.27272727272728,73.63636363636364,4.454545454545454,17.5,136526,0.0,0.0,0.0,1.0862,0.0,18.1079,0.0152,3.8813,0.0,0.0,0.0304,0.281,0.2355,0.0,0.0,0.1595,0.0304,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,1.0102,1.0026,0.0076,0.0076,0.0304,131.6556
39,B. Chilwell,3.0,24.0,178.0,77.0,5.555555555555555,40.0,282138,0.4998,0.1874,0.0208,0.0,0.1041,36.654,1.0934,5.5814,1.3953,0.1978,1.1454,11.4752,6.2166,2.1867,1.1975,1.1246,0.833,0.0833,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,1.0413,0.9892,0.0521,0.0521,0.1562,96.0333
40,B. Cristante,2.0,25.0,186.0,80.0,6.3,20.0,158027,1.7798,0.4689,0.1812,0.0,0.0746,41.3606,1.2043,7.6732,0.8313,0.1385,0.9698,11.7123,5.4139,1.865,1.2469,0.5542,1.9822,0.2238,0.0,0.0107,0.0213,0.0,0.0,0.0107,0.0,1.2043,1.0231,0.1812,0.3197,0.2238,93.8333
41,B. Davies_TOT,3.0,27.0,181.0,76.0,7.090909090909091,17.5,266366,0.6018,0.1204,0.0267,0.0,0.107,42.4056,1.1768,11.9287,1.685,0.3611,1.0698,9.2675,5.0015,0.789,0.3878,0.7756,1.0698,0.1204,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,1.2169,1.003,0.214,0.107,0.6018,74.7778
42,B. Kamara_MSU,3.0,21.0,184.0,68.0,4.363636363636363,27.0,408100,0.5114,0.142,0.0426,0.0,0.0426,45.2273,0.3409,8.4233,1.6051,0.4261,1.5483,6.2926,3.679,0.767,0.4972,1.1364,1.0227,0.2557,0.0142,0.0284,0.0,0.0426,0.0,0.0,0.0,1.108,1.0085,0.0994,0.0568,0.4403,70.4
43,B. Leno,1.0,28.0,190.0,83.0,3.8181818181818183,28.0,834169,0.0,0.0,0.0,1.2417,0.0,20.4739,0.0284,4.1517,0.0,0.0,0.0569,0.5782,0.4739,0.0095,0.0095,0.1706,0.0,0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.9953,0.9858,0.0095,0.0,0.2749,105.5
44,B. Pavard,3.0,24.0,186.0,76.0,5.25,28.0,1705469,0.4999,0.1574,0.0463,0.0,0.0463,51.4431,0.4166,4.8231,0.611,0.3518,1.7219,5.721,3.3141,0.5092,0.287,0.5832,0.8424,0.1203,0.0,0.0,0.0,0.0278,0.0093,0.0,0.0,0.9998,0.9998,0.0,0.0093,0.0185,108.0222
45,B. Silva,2.0,26.0,173.0,64.0,6.642857142857143,80.0,2076355,1.8257,0.7706,0.2752,0.0,0.2936,50.1468,2.1651,10.4679,1.1376,0.0642,0.7706,9.3119,4.3853,2.945,1.9633,0.8991,0.8716,0.1009,0.0,0.0,0.0275,0.0092,0.0092,0.0,0.0,1.3486,0.9633,0.3853,0.2385,0.4954,109.0
46,C. Azpilicueta,3.0,31.0,178.0,76.0,6.538461538461538,24.0,896732,0.4732,0.1554,0.0565,0.0,0.1201,56.709,0.8263,7.0056,2.0127,0.4802,1.5537,7.8884,4.6116,0.4237,0.2119,0.4167,0.9251,0.0777,0.0,0.0,0.0141,0.0071,0.0212,0.0071,0.0,1.0169,0.9887,0.0282,0.0424,0.0706,141.6
47,C. Eriksen,2.0,28.0,182.0,76.0,6.3125,68.0,2041938,2.6197,1.0339,0.2629,0.0,0.2891,47.7161,2.4796,9.8043,1.1478,0.0613,0.7798,6.7202,2.646,1.2442,0.6484,0.5607,0.5169,0.0789,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,1.2004,0.9638,0.2366,0.1928,0.3154,114.1333
48,C. Immobile,4.0,30.0,185.0,78.0,6.7,40.0,1143091,3.8055,1.7598,0.7861,0.0,0.2501,21.4035,1.5633,6.3156,0.1608,0.0089,0.0804,5.7886,2.3494,2.0457,0.9737,1.2328,0.8218,0.1608,0.0,0.0089,0.0536,0.0,0.2233,0.0357,0.0,1.1256,1.0094,0.1161,0.268,0.134,111.9444
49,C. KouamÃ©,4.0,23.0,185.0,70.0,3.375,17.5,59800,1.609,0.5448,0.2787,0.0,0.1014,11.7188,0.9122,3.484,0.2914,0.0887,0.3421,8.5389,4.3581,1.5329,0.7348,1.6216,0.9502,0.1014,0.0,0.0,0.0507,0.0,0.0,0.0,0.0,1.2416,0.9882,0.2534,0.3547,0.2787,78.9333
50,C. Lenglet,3.0,25.0,186.0,81.0,7.0,48.0,1835812,0.4853,0.1673,0.0753,0.0,0.0167,50.7186,0.1171,6.5009,0.845,0.4183,1.1128,6.6264,3.8905,0.3932,0.3012,0.7446,1.2968,0.251,0.0167,0.0084,0.0,0.0167,0.0,0.0,0.0,1.0626,0.9956,0.0669,0.0418,0.2175,119.5222
51,C. Pulisic,2.0,22.0,172.0,69.0,6.733333333333333,54.0,2677415,2.6615,0.9836,0.2459,0.0,0.3038,39.2575,1.9672,15.8679,0.8245,0.1302,0.5786,21.4947,9.2864,9.1707,4.6866,2.1553,0.8245,0.0434,0.0,0.0,0.0579,0.0,0.0,0.0,0.0,1.3597,0.9981,0.3616,0.4629,0.4918,69.1333
52,C. Ronaldo,4.0,35.0,187.0,83.0,6.181818181818182,60.0,222106900,5.8747,2.3499,0.8676,0.0,0.1808,26.9422,1.4461,6.5977,0.1808,0.0633,0.244,6.3447,3.2266,2.5397,1.5726,1.3557,0.6688,0.0813,0.0,0.009,0.0181,0.0,0.1898,0.0181,0.0,1.0484,1.0213,0.0271,0.0994,0.0362,110.6444
53,C. Soler,2.0,23.0,180.0,76.0,7.0,40.0,160657,1.5037,0.5439,0.0853,0.0,0.1386,28.1017,1.1091,7.54,0.8319,0.16,0.4266,8.4038,3.8926,1.717,0.8958,1.6744,1.5677,0.2346,0.0,0.0,0.0107,0.0107,0.0,0.0,0.0,1.2158,0.9918,0.224,0.4159,0.3093,93.7667
54,C. Stengs,4.0,22.0,187.0,68.0,4.375,18.0,61673,2.0644,0.6934,0.2364,0.0,0.2049,26.948,1.7965,6.3667,0.6304,0.0473,0.3309,2.8839,1.1347,2.9942,1.828,0.52,0.6934,0.0788,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,1.1031,1.0401,0.063,0.3467,0.0788,63.4556
55,C. Wilson,4.0,28.0,180.0,66.0,5.111111111111111,24.0,292000,2.0466,0.826,0.4068,0.0,0.1356,10.7014,0.9863,6.0534,0.3575,0.111,0.1479,11.4904,3.6,1.5658,0.7151,1.1589,1.5904,0.1479,0.0,0.0,0.0493,0.0,0.0123,0.0123,0.0,1.1959,0.9986,0.1973,0.3329,0.2342,81.1111
56,C. Ãœnder,2.0,23.0,173.0,66.0,6.4,24.0,979374,2.6569,0.8918,0.3159,0.0,0.2044,21.5339,1.7093,12.0211,0.2973,0.0557,0.7803,6.6515,2.8984,3.1771,1.9323,1.3749,0.353,0.0743,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,1.6536,1.0776,0.576,0.7989,1.0219,53.8222
57,Casemiro,2.0,28.0,185.0,84.0,7.2727272727272725,64.0,12051174,1.2679,0.3675,0.1378,0.0,0.0643,53.2411,0.6615,8.6086,1.8467,0.3307,1.9477,10.7952,6.0545,0.8728,0.6707,1.8283,2.0304,0.2664,0.0092,0.0,0.0092,0.0276,0.0,0.0,0.0,1.0841,1.0382,0.0459,0.1929,0.1837,108.8444
58,D. Alaba,3.0,28.0,180.0,78.0,6.4,52.0,4945797,1.1437,0.3586,0.0582,0.0,0.1066,57.4251,1.0952,7.4725,0.6106,0.1648,0.911,4.3226,2.3552,0.9983,0.5331,0.3295,0.4652,0.0678,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,1.0952,0.9983,0.0969,0.1066,0.1357,103.1778
59,D. Alli,2.0,24.0,188.0,76.0,6.461538461538462,64.0,7285080,1.9422,0.7155,0.2788,0.0,0.2695,32.4223,1.5983,8.9489,1.2359,0.1673,0.6691,11.3836,4.9995,3.0666,1.3753,1.6727,0.9943,0.1673,0.0,0.0,0.0279,0.0,0.0279,0.0,0.0,1.1802,1.0222,0.158,0.4832,0.1859,107.6111
60,D. Berardi,4.0,26.0,183.0,72.0,4.142857142857143,19.0,123675,3.6643,1.0968,0.2991,0.0,0.1371,25.6627,1.8571,3.7017,0.6356,0.0374,0.8226,9.6718,4.1379,2.6049,1.3835,2.3556,1.8197,0.2368,0.0,0.0374,0.0,0.0,0.0374,0.0374,0.0,1.1591,1.0469,0.1122,0.3614,0.1745,80.2333
61,D. Blind,3.0,30.0,180.0,72.0,5.461538461538462,20.0,2499039,0.7457,0.1982,0.0661,0.0,0.0661,59.7011,0.6513,7.5606,0.9439,0.3964,1.3686,5.5218,3.1337,0.8967,0.6607,0.5852,0.7362,0.085,0.0094,0.0,0.0,0.0189,0.0094,0.0,0.0,1.0666,1.0005,0.0661,0.0755,0.1793,105.9444
62,D. Calvert-Lewin,4.0,23.0,176.0,71.0,7.1,24.0,194987,2.5209,1.0057,0.4157,0.0,0.1341,12.9797,0.7375,8.2866,0.4827,0.0939,0.3218,19.2685,8.0051,1.5822,0.7911,1.475,1.8504,0.2011,0.0,0.0,0.067,0.0,0.0,0.0,0.0,1.5286,0.9654,0.5632,0.362,0.6302,74.5778
63,D. Carvajal,3.0,28.0,173.0,73.0,7.0,40.0,4956744,0.5583,0.2741,0.0203,0.0,0.1929,56.5723,1.4821,9.5421,1.1471,0.3756,1.4313,7.3393,3.8879,1.8678,1.1674,1.1166,1.5836,0.3756,0.0,0.0102,0.0,0.0305,0.0,0.0,0.0,1.0456,1.0151,0.0305,0.0508,0.0914,98.5111
64,D. James,2.0,23.0,170.0,76.0,4.583333333333333,22.5,1773988,2.2536,0.8371,0.161,0.0,0.2093,23.1801,1.1751,10.1896,0.7083,0.0805,0.2415,9.4008,4.7487,2.6078,1.3683,2.5112,0.5473,0.0805,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,1.2234,1.0141,0.2093,0.4668,0.4346,62.1222
65,D. Jota,4.0,24.0,178.0,68.0,5.6,28.0,190719,2.6278,1.1043,0.4397,0.0,0.1329,23.998,1.2065,6.7587,0.5828,0.0102,0.4294,15.3681,6.4622,4.3354,2.4233,2.2393,1.6258,0.2658,0.0102,0.0,0.0204,0.0,0.0102,0.0102,0.0,1.227,1.0634,0.1636,0.6748,0.1636,97.8
66,D. Malen,4.0,21.0,179.0,0.0,2.6923076923076925,25.0,118651,2.1728,1.2031,0.7362,0.0,0.1077,12.929,1.0595,6.5543,0.1437,0.018,0.1257,2.9629,1.5263,1.6341,1.0774,0.8081,0.4489,0.1975,0.0,0.0,0.0359,0.0,0.0359,0.0,0.0,1.6341,0.8799,0.7542,0.2694,0.9876,55.6889
67,D. McNeil,4.0,21.0,0.0,0.0,3.0,18.0,13330,1.2489,0.3317,0.0976,0.0,0.1951,18.5776,1.366,8.196,1.5221,0.1171,0.7025,10.8305,4.8786,3.4736,1.8734,0.722,0.7025,0.1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1318,1.0343,0.0976,0.3513,0.1951,51.2444
68,D. Mertens,4.0,33.0,169.0,61.0,6.583333333333333,20.0,1675015,3.5948,1.4158,0.5322,0.0,0.2611,22.1009,2.179,8.0832,0.3816,0.0,0.3414,6.2055,2.3095,1.9279,0.9138,1.0744,1.1748,0.1305,0.0,0.0,0.0502,0.0,0.0703,0.0201,0.0,1.2953,0.974,0.3213,0.4318,0.3514,99.5889
69,D. Neres,4.0,23.0,176.0,66.0,4.777777777777778,36.0,2118462,1.9206,0.8808,0.3915,0.0,0.3058,28.8215,1.6515,6.0188,0.5016,0.0122,0.4404,10.0557,4.7587,4.2939,2.6546,1.4313,0.7829,0.0734,0.0,0.0,0.0367,0.0,0.0,0.0,0.0,1.309,0.9909,0.3181,0.5016,0.4037,81.7444
70,D. Parejo,2.0,31.0,182.0,74.0,7.333333333333333,28.0,276500,1.2082,0.5223,0.2183,0.0,0.1637,57.4563,2.128,6.0177,0.9977,0.1637,1.0523,7.5377,4.1547,1.6837,1.216,2.0657,0.9666,0.265,0.0078,0.0156,0.0078,0.0234,0.1403,0.039,0.0,1.0445,1.0133,0.0312,0.0702,0.0312,128.2889
71,D. Pereira,2.0,29.0,188.0,83.0,4.2,24.0,343156,1.2451,0.2779,0.0778,0.0,0.0556,38.4968,0.378,5.6139,0.7448,0.1556,1.1784,7.0035,4.2354,0.8004,0.5558,1.1784,1.1339,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0783,1.0116,0.0667,0.1667,0.1,89.9556
